,Teekkarikylä Soluyksiö,Teekkarikylä Yksiö,Etu-Töölö Yksiö,Teekkarikylä Yksiö,Teekkarikylä Soluyksiö,Teekkarikylä Soluyksiö,Teekkarikylä Yksiö,Jätkäsaari Yksiö,Teekkarikylä Yksiö,Teekkarikylä Soluyksiö
,121,261,62,4,30,30,4,75,8,26
2018-09-22 14:11:30.031077,52,93,298,599,446,80,102,942,180,97
